variant_id,stop_id
852930,1138
852930,3412
852930,211
852930,240
853239,4898
853239,1547
853461,5475
853461,179
853474,2528
853474,2036
853474,353
853474,4284
853474,4286
853476,812
853476,3861
853476,4458
853476,4115
853476,4709
853476,4481
853476,4678
853476,4461
853476,4746
853502,3758
853502,1149
853502,4634
853502,4478
853502,4707
853502,4744
853504,33
853504,4663
853504,538
853505,539
853505,4664
853505,838
853540,981
853540,2482
853540,73
853541,73
853549,1015
853549,5609
853596,5608
853596,5561
853596,4248
853598,5608
853598,895
853605,5608
853605,2251
853605,895
853612,5608
853612,2251
853612,895
853612,3976
853612,3972
853631,686
853631,3123
853631,636
853638,1782
853638,638
853638,3124
853638,5599
853638,4908
853807,812
853807,3861
853807,4458
853807,4115
853807,4709
853807,4481
853807,4678
853807,4461
853807,4746
853807,4711
853823,33
853823,4663
853823,538
853823,3272
853823,3370
853982,5689
853982,2955
853982,3134
854085,5692
854246,1751
854246,1868
854487,638
854487,3124
854487,687
854487,2056
854487,5110
854487,5108
854488,637
854488,5108
854488,680
854488,5553
854488,5341
854493,638
854493,3124
854493,687
854493,2056
854493,5110
854493,5108
854493,5405
854497,1782
854497,638
854497,3124
854497,5599
854497,46
854530,3182
854530,2861
854530,1149
854530,5614
854530,5297
854530,1142
854530,5582
854530,639
854530,3895
854556,3893
854556,481
854556,3526
854556,4895
854556,554
854571,16
854571,198
854571,3547
854571,5297
854571,1151
854571,494
854571,3518
854571,5456
854571,509
854571,3526
854571,546
854571,613
854571,3895
854607,5423
854608,1249
854629,103
854629,799
854629,1125
854629,3762
854629,114
854629,5154
854629,4748
854638,5409
854638,3130
854638,116
854638,5424
854638,1142
854638,665
854642,212
854642,2479
854642,115
854676,5296
854676,271
854676,281
854676,5571
854676,5466
854710,3895
854711,1892
854711,603
854711,1900
854715,1160
854715,639
854715,3899
854715,1892
854715,604
854715,5578
854715,1034
854715,1701
854788,1151
854788,305
854788,3891
854817,647
854817,637
854829,480
854829,3134
854847,5297
854851,5296
854893,5297
854895,5296
854908,2899
854908,55
854908,5440
854908,2274
854908,2304
854908,3415
854908,2828
854908,707
854908,603
854908,4892
854908,1330
854908,3517
854908,508
854940,16
854940,198
854940,3547
854940,5297
854940,1151
854940,494
854940,3518
854940,5456
854941,16
854941,198
854941,3547
854941,5297
854941,1151
854941,494
854941,3518
854983,1160
854983,5582
854983,651
854995,707
854995,613
855028,1396
855028,1750
855278,5636
855278,2506
855278,3422
855278,2013
855278,761
855293,5626
855293,1963
855293,3182
855293,2861
855293,1149
855293,5297
855293,1142
855293,5582
855296,1239
855296,281
855296,403
855296,5625
855296,1816
855296,5520
855296,5522
855296,4881
855296,4878
855308,638
855325,1125
855325,3762
855325,114
855325,5154
855325,952
855327,115
855329,665
855335,613
855359,642
855359,636
855359,1312
855359,1176
855359,4893
855359,1901
855359,604
855359,605
855359,708
855359,711
855359,3421
855372,1160
855372,639
855372,3899
855372,1892
855372,604
855372,934
855372,2117
855372,5577
855373,1034
855373,1701
855373,5578
855373,1189
855373,935
855373,707
855373,613
855373,4652
855373,637
855373,648
855373,5600
855373,665
855377,5578
855377,1189
855377,935
855377,707
855377,613
855377,4652
855377,637
855377,644
855381,648
855381,5579
855381,212
855381,5296
855381,271
855381,281
855381,812
855383,526
855383,538
855383,3272
855439,242
855439,5296
855439,2492
855457,5636
855457,2506
855457,3422
855457,2013
855466,5288
855466,271
855466,2863
855466,3518
855466,5456
855485,509
855485,3526
855485,546
855485,613
855485,637
855486,3526
855486,546
855486,613
855486,637
855500,546
855500,4895
855500,554
855500,2880
855503,553
855503,4892
855503,1330
855503,3517
855503,508
855526,596
855526,1034
855526,1701
855526,575
855526,555
855526,4892
855528,5626
855528,1963
855528,3182
855528,2861
855528,1149
855528,5297
855528,1142
855528,5582
855533,281
855533,403
855533,5571
855545,281
855545,403
855545,5625
855545,1816
855545,5520
855545,4878
855545,4880
855575,116
855575,5424
855575,1142
855575,665
855581,642
855581,636
855581,1312
855581,1176
855581,4893
855581,1901
855581,604
855581,605
855581,708
855581,711
855581,3421
855587,1901
855587,613
855587,3895
855611,1901
855611,604
855611,708
855611,711
855611,3421
855611,2305
855611,2871
855612,2899
855612,51
855612,2274
855612,3415
855612,2828
855612,707
855612,603
855612,4892
855616,1312
855616,2028
855616,3517
855616,508
855616,5456
855627,5689
855627,2528
855627,481
855627,5457
855627,509
855627,3526
855627,546
855627,4895
855627,554
855657,1160
855657,212
855657,2479
855657,115
