route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,brigade_id,vehicle_id,variant_id
A,3,3_15684625,"KRZYKI",0,862265,1,2,862265
A,3,3_15684662,"KRZYKI",0,862265,3,1,862265
A,3,3_15684681,"KRZYKI",0,862265,4,1,862265
A,3,3_15684700,"KRZYKI",0,862265,5,1,862265
A,3,3_15684223,"KRZYKI",0,862635,21,1,862635
A,3,3_15684661,"Zajezdnia OBORNICKA",0,862637,2,1,862637
A,3,3_15681745,"SOŁTYSOWICE",1,862707,6,1,862707
A,3,3_15681749,"SOŁTYSOWICE",1,862707,6,1,862707
A,3,3_15681753,"SOŁTYSOWICE",1,862707,6,1,862707
A,3,3_15681757,"SOŁTYSOWICE",1,862707,6,1,862707
A,3,3_15681769,"SOŁTYSOWICE",1,862707,7,1,862707
A,3,3_15681773,"SOŁTYSOWICE",1,862707,7,1,862707
A,3,3_15681777,"SOŁTYSOWICE",1,862707,7,1,862707
A,3,3_15681781,"SOŁTYSOWICE",1,862707,7,1,862707
A,3,3_15681791,"SOŁTYSOWICE",1,862707,8,1,862707
A,3,3_15681795,"SOŁTYSOWICE",1,862707,8,1,862707
A,3,3_15681799,"SOŁTYSOWICE",1,862707,8,1,862707
A,3,3_15681803,"SOŁTYSOWICE",1,862707,8,1,862707
A,3,3_15684168,"SOŁTYSOWICE",1,862707,23,1,862707
A,3,3_15684272,"SOŁTYSOWICE",1,862707,22,1,862707
A,3,3_15684626,"SOŁTYSOWICE",1,862707,1,2,862707
A,3,3_15684630,"SOŁTYSOWICE",1,862707,1,2,862707
A,3,3_15684634,"SOŁTYSOWICE",1,862707,1,2,862707
A,3,3_15684638,"SOŁTYSOWICE",1,862707,1,2,862707
A,3,3_15684640,"SOŁTYSOWICE",1,862707,1,2,862707
A,3,3_15684646,"SOŁTYSOWICE",1,862707,2,1,862707
A,3,3_15684650,"SOŁTYSOWICE",1,862707,2,1,862707
A,3,3_15684654,"SOŁTYSOWICE",1,862707,2,1,862707
A,3,3_15684658,"SOŁTYSOWICE",1,862707,2,1,862707
A,3,3_15684660,"SOŁTYSOWICE",1,862707,2,1,862707
A,3,3_15684663,"SOŁTYSOWICE",1,862707,3,1,862707
A,3,3_15684667,"SOŁTYSOWICE",1,862707,3,1,862707
A,3,3_15684671,"SOŁTYSOWICE",1,862707,3,1,862707
A,3,3_15684675,"SOŁTYSOWICE",1,862707,3,1,862707
A,3,3_15684682,"SOŁTYSOWICE",1,862707,4,1,862707
A,3,3_15684686,"SOŁTYSOWICE",1,862707,4,1,862707
A,3,3_15684690,"SOŁTYSOWICE",1,862707,4,1,862707
A,3,3_15684694,"SOŁTYSOWICE",1,862707,4,1,862707
A,3,3_15684701,"SOŁTYSOWICE",1,862707,5,1,862707
A,3,3_15684705,"SOŁTYSOWICE",1,862707,5,1,862707
A,3,3_15684709,"SOŁTYSOWICE",1,862707,5,1,862707
A,3,3_15684713,"SOŁTYSOWICE",1,862707,5,1,862707
A,3,3_15681744,"KRZYKI",0,862708,6,1,862708
A,3,3_15681748,"KRZYKI",0,862708,6,1,862708
A,3,3_15681752,"KRZYKI",0,862708,6,1,862708
A,3,3_15681756,"KRZYKI",0,862708,6,1,862708
A,3,3_15681768,"KRZYKI",0,862708,7,1,862708
A,3,3_15681772,"KRZYKI",0,862708,7,1,862708
